entityCategory	subcategory	subcategoryClass	count
?	Aboriginal Community Council	Corporate Body	1
?	Aboriginal Corporation	Corporate Body	13
?	Aboriginal and Torres Strait Islander	People	29
?	Agreement-in-Principle (AIP) (Canada)	Agreement	1
?	Alcohol Management Plan	(none)	1
?	Applicant	People	1
?	Black Economic Empowerment Transaction (South Africa)	(none)	2
?	Case Law	Case Law	8
?	Consent Determination (Native Title Act)	Agreement	24
?	Declaration	Event	1
?	Future Act Agreement (Native Title Act)	Agreement	1
?	Government	Corporate Body	1
?	Indigenous Land Use Agreement (ILUA) (Native Title Act)	Agreement	32
?	Joint Management Agreement	Agreement	1
?	Joint Venture Agreement (South Africa)	Agreement	1
?	Legislation	Legislation	12
?	Litigated Determination	(none)	5
?	Local Government	Corporate Body	10
?	Maori People	People	1
?	Native Title Applicant	People	15
?	Native Title Claimants (registered)	People	8
?	Native Title Claimants (unregistered)	People	1
?	Native Title Holders (Native Title Act)	People	13
?	Native Title Representative Body (NTRB)	Corporate Body	3
?	No Liability Company	Corporate Body	2
?	Party to an Indigenous Land Use Agreement	(none)	24
?	Prescribed Body Corporate (PBC)	Corporate Body	6
?	Proprietary Company	Corporate Body	8
?	Public Company	Corporate Body	3
?	Regional Partnership Agreement (RPA) 	Agreement	1
?	Registered Aboriginal Party (Vic)	(none)	1
?	Representative Body	Corporate Body	1
?	Respondent	(none)	9
?	Shared Responsibility Agreement (SRA)	Agreement	2
?	State Government	Corporate Body	4
?	Statement of Commitment/Intention	Event	1
?	Statutory Body	Corporate Body	1
?	Template Agreement	Agreement	1
?	Traditional Owner Group	(none)	1
?	Trustee Company	(none)	1
?	Unopposed Determination	(none)	1
Agreement		(none)	1
Agreement	?	?	3
Agreement	Aboriginal Community Controlled Health Organisation Peak Body Agreement	(none)	6
Agreement	Aboriginal Community Controlled Health Service Agreement	(none)	10
Agreement	Agreement in Principle / Heads of Agreement (New Zealand)	Agreement	1
Agreement	Agreement-in-Principle (AIP) (Canada)	Agreement	10
Agreement	Alcohol Management Plan	(none)	1
Agreement	Black Economic Empowerment Transaction (South Africa)	(none)	3
Agreement	COAG Agreement	(none)	22
Agreement	Commercial Agreement	Agreement	37
Agreement	Comprehensive Land Claims Agreement (Canada)	Agreement	36
Agreement	Consent Determination (Native Title Act)	Agreement	406
Agreement	Conservation Agreement	Agreement	4
Agreement	Deed of Settlement (New Zealand)	Agreement	31
Agreement	Devolution Agreement (Canada)	Agreement	2
Agreement	Environmental Agreement (Canada)	Agreement	3
Agreement	Exploration Agreement (Aboriginal Land Rights (Northern Territory) Act)	Agreement	15
Agreement	Exploration Agreement (Native Title Act)	Agreement	28
Agreement	Final Agreement (Canada)	Agreement	11
Agreement	Framework Agreement	Agreement	65
Agreement	Framework Agreement (Canada)	Agreement	6
Agreement	Funding Agreement	Agreement	36
Agreement	Future Act Agreement (Native Title Act)	Agreement	226
Agreement	Impact and Benefits Agreement (IBA) (Canada)	Agreement	1
Agreement	Implementation Plan (Canada)	Agreement	8
Agreement	Indigenous Land Use Agreement (ILUA) (Native Title Act)	Agreement	1350
Agreement	Indigenous Management Agreement (Aboriginal Land Act) (Queensland)	(none)	3
Agreement	Indigenous Partnership	Agreement	43
Agreement	Interim Agreement	Agreement	5
Agreement	Interim Measures Agreement (Canada)	Agreement	4
Agreement	Joint Management Agreement	Agreement	27
Agreement	Joint Venture Agreement	Agreement	12
