atns-payment-type:8b3b4e8b-a388-554c-bb76-e16724d3da57	Not specified	61
atns-payment-type:0a834f9f-7221-562c-98fa-4e664d4da1a9	Comalco Annual Contribution	62
atns-payment-type:a6c21441-4a3d-58d8-a647-63b52158171a	Compensation	63
atns-payment-type:6fd4060c-45d1-53e2-9078-6a7e758f580f	Infrastructure Provision	64
atns-payment-type:f91f47b9-9af9-5ef1-82c5-6ab4977f9741	Payment for Share in Joint Venture	65
atns-payment-type:19252792-393d-5512-aad9-d08b28fd7ec4	Payment for Share of Expenditure in Joint Venture	66
atns-payment-type:7c7e86fa-efd3-5a7d-9f93-8b088a948009	Queensland Government Annual Contribution	67
atns-payment-type:7e3cb602-aa65-5cc8-9897-e2db1089503f	Rental	68
atns-payment-type:77681bd3-5410-59cb-be29-b1af4023831f	Service Delivery	69
atns-payment-type:b31f11d2-ff93-5ea1-99e7-ac14cbba0f8e	Proposed contribution	277
atns-payment-type:c5ce5997-e7ba-539c-98ac-39b8174cdb56	Consideration for entering into agreement	308
atns-payment-type:091976d1-fa4e-5679-9041-a7361cd932a3	Financial and Commercial Redress (New Zealand)	310
atns-payment-type:7f4986e4-f749-5c0d-8ade-ef376ade93c9	Annuity Redress (New Zealand)	315
atns-payment-type:314aa98c-80f4-5ddb-a103-b7ca99404350	Long-term royalty prepayment	317
atns-payment-type:54cba9d3-4a8d-5ca7-ac02-d21045b82807	Black Economic Empowerment (BEE) compensation charge	318
atns-payment-type:226ac4a3-0455-5582-ac99-ee088a443eec	Negotiating costs	322
atns-payment-type:0abb7f13-70d5-5395-933c-8244c0993708	Legal Costs	323
