resource_iri,resource_name,original_url,last_url_reached,possible_updated_url,http_status,classification,assessment,broken,same_domain_redirect,path_changed,content_type,content_length,error
https://data.idnau.org/pid/resource/8cded530-4420-53ca-b66e-8712265e805c,Dundiwuy Wanambi,https://www.austlit.edu.au/austlit/page/6125686,https://www.austlit.edu.au/austlit/page/6125686,,418,client_error,likely_broken,true,false,false,text/html; charset=utf-8,2146,
https://data.idnau.org/pid/resource/c88bff92-89bd-54ec-b129-cea5c8185519,Larrakan Mununggirritj,https://www.austlit.edu.au/austlit/page/6127520,https://www.austlit.edu.au/austlit/page/6127520,,418,client_error,likely_broken,true,false,false,text/html; charset=utf-8,2146,
https://data.idnau.org/pid/resource/ccc267cc-87b9-520d-b3a4-4e40a7745fb0,Nyabilingu Maymuru,https://www.austlit.edu.au/austlit/page/6128515,https://www.austlit.edu.au/austlit/page/6128515,,418,client_error,likely_broken,true,false,false,text/html; charset=utf-8,2146,
https://data.idnau.org/pid/resource/3df12df4-1b62-5e6e-8a22-44e5c9f9248c,It's Our Country: Indigenous Arguments for Constitutional Recognition and Reform,https://ebookcentral.proquest.com/lib/unimelb/detail.action?docID=5683797&query=It%E2%80%99s+Our+Country%3A+Indigenous+Arguments+for+Meaningful+Constitutional+Recognition+and+Reform,https://login.openathens.net/auth/dsc?t=%2Fsaml%2F2%2Fsso%2F_%2Fc%2Foafed%3FSAMLRequest%3DfVJNb5tAEP0raO%252BwmGA%252BVsaRG6uqpbS1YqeHXKJhGWIk2KE7i9v8%252B2JTJLeHSHuc97HvvdX97671zmi5IVOIRRAKD42mqjFvhXg%252BfvYz4bEDU0FLBgthSNyvVwxd26vN4E7mCX8OyM7bMKN1I8sDGR46tAe050bj89NjIU7O9ayk1GQMahdQjwbcCQ0HBp3E0oJ9DzR18i5L6ySJS79M49SP6zjzIUrQD9OlhhzKWFephFFYWn2WFx%252BR7Imd8Laji2ZkvX5kFmzprTH%252Fy11QMpLMJF%252BllgQ1VsLbbQuhoyzN4ju9iBDiOslznZVJmqehTjDR9RjOjnnAnblE4goRhVHih%252Fn4juFSLUMV58EyzF%252BEt7fkSFP7qTFTloM1ioAbVgY6ZOW0Omy%252BPqooCFU5HbH6cjzu%252Ff33w1F4P%252BZOoksnY0uG1TX2j6n6v7piKkld%252Fdob%252FMdwmFsU6znCKTif%252B%252BCmJgLZoYMKHKzkjdA8jW8j8267p7bR796mbenXg0Vw44AWQq4nyL8DWv8B%26RelayState%3D3e8ec776-484f-4fa5-8eca-9d21cddeb47b&redirect=true,,400,client_error,likely_broken,true,false,false,text/html; charset=utf-8,,Bad Request
https://data.idnau.org/pid/resource/dfc71ac9-7b25-5b8f-ab61-d18771d31c33,Doreen Kartinyeri: My Ngarrindjeri Calling,https://ebookcentral.proquest.com/lib/unimelb/detail.action?docID=838259,https://login.openathens.net/auth/dsc?t=%2Fsaml%2F2%2Fsso%2F_%2Fc%2Foafed%3FSAMLRequest%3DfVLLjpswFP0V5D0YiMPDChmlE1WNNG2jCdNFN5UxlwkS%252BFJfk3b%252BviQUKe1iJC%252Fvefics3n43XfeBSy1aAoWBSHzwGisW%252FNasJfyo58xj5wyterQQMEMsofthlTfDXI3urN5hp8jkPN2RGDdxPKIhsYe7AnspdXw8vxUsLNzA0nONRoD2gU4gFHuDIYCA45DZZV9CzT2fJWlTZKIyq9SkfqiEZmv4gT8MF1rlatK6DrlahLmVl%252F41UfMByTHvP3kop1Ybx9ZBDt8bc3%252FclcUjzkR8h9cc1QN1Mw77AvWZCsADRBm60hUWuc6zOomEkLoOF6JfLoiGuFgrpG4gsVhnPhhPr0yXMt1KEUeREnynXlHiw41dh9aM2c5WiNRUUvSqB5IOi1Pu89PMg5CWc1HJD%252BV5dE%252Ffj2VzPu2dBJfO5laMiRvsb9PNfzVZXNJ8ubX3uHfh6ulRbZdIpyD82kI7mpCxXtwqlZObfid0DKNLxPzYX%252FErtVv3q7r8NejBeWmAUWMb2fIvwPa%252FgE%253D%26RelayState%3Dd0e3a2dc-eb0f-44ab-97d3-44885c59f8fa&redirect=true,,400,client_error,likely_broken,true,false,false,text/html; charset=utf-8,,Bad Request
https://data.idnau.org/pid/resource/4788bb6b-63b1-5453-a274-e065c24e17ca,VET Services - Program Information,http://www.aboriginaleducation.nsw.edu.au/vet_programs/Website%20Info%20-%20VET%20Services.pdf,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/dbd94f67-44d8-544f-86be-e02fdfa9eb69,Mapoon Aboriginal Community and Council,http://www.accq.org.au/comm/mapoon.htm,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/004bcd1b-fd6d-531f-b0fb-395155799af2,New Mapoon Community & Council,http://www.accq.org.au/comm/nmapoon.htm,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/7c3ccab6-8323-5c28-bbf6-05c98d61385d,Australians Creating Rural Online Support Systems (ACROSSnet) Website,http://www.acrossnet.net.au/resource_view_public.asp?aglsid=4994,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/4019beed-d883-5332-943f-39a78430fa85,Regional Forest Agreement for the Eden Region of New South Wales,http://www.affa.gov.au/corporate_docs/publications/pdf/forestry/rfa/nsw/eden/nsw_rfa_eden.pdf,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/61caf3f5-ef2b-56c1-8bdd-12c6b1bbadb6,Welcome to the Australian Heritage Council,http://www.ahc.gov.au/index.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/6d990233-c255-5cfb-a16f-1a53c9c0c23f,Register of the National Estate,http://www.ahc.gov.au/register/index.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/d62a35c7-f865-5cf7-815d-e9f434acb669,Negotiating Major Project Agreements: The 'Cape York Model',http://www.aiatsis.gov.au/__data/assets/pdf_file/5578/DP11.pdf#search=%22Negotiating%20Major%20Project%20Agreements%3A%20The%20'Cape%20York%20Model'%22,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/cd2a7f7a-27ce-5765-99ae-1721017ff8fb,Tsawwassen First Nation Agreement In Principle,http://www.ainc-inac.gc.ca/bc/treapro/ston/aip/tsaaip/tsaaip_e.pdf,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/c81e738b-6c6d-541a-8c0f-73e365729af3,Highlights from the Report on the Royal Commission on Aboriginal Peoples,http://www.ainc-inac.gc.ca/ch/rcap/rpt/index_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/e2e99e00-f140-522e-bde8-6540e23e8937,Metis Nation Accord,http://www.ainc-inac.gc.ca/ch/rcap/sg/cj5d_e.pdf,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/344cb04c-9c93-5b81-aba1-9463437b6d1e,Royal Commission on Aboriginal Peoples: Interpreting the Mandate,http://www.ainc-inac.gc.ca/ch/rcap/sg/sg2_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/532e62e8-cf0e-57d9-88e0-88ded8f591f1,Report of the Royal Commission on Aboriginal Peoples,http://www.ainc-inac.gc.ca/ch/rcap/sg/sgmm_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/698d5af9-7439-5432-9253-d9b8e5715fb9,Gathering Strength: Canada's Aboriginal Action Plan,http://www.ainc-inac.gc.ca/gs/chg_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/323e9c01-0c1c-5895-a7fc-b731652f7dfc,Information Update: Progress on the Implementation of the Labrador Innu Comprehensive Healing Strategy,http://www.ainc-inac.gc.ca/irp/irp-Pc_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/86c0ab1a-34f4-58cb-bfb5-b93f7f12137d,Why is there a Treaty Process in B.C.?,http://www.ainc-inac.gc.ca/nr/nwltr/trty/1996/treatynews_july_1996_e.pdf,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/53524088-dd8b-5efc-97f0-cc6340050e2d,A New Beginning for a New Millenium at Nisga'a Nation,http://www.ainc-inac.gc.ca/nr/prs/j-a2000/2-00127_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/a43ac95b-6ab5-56e4-8932-0541ded77ead,Backgrounder: Canadian Centre for the Independent Resolution of First Nations Specific Claims,http://www.ainc-inac.gc.ca/nr/prs/j-a2004/02462abk_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/ca6112a1-736b-5754-aabb-e198c01bcbb4,Backgrounder: Canadian Centre for the Independent Resolution of First Nations Specific Claims,http://www.ainc-inac.gc.ca/nr/prs/j-a2004/02462abk_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/f54ae52d-6665-5296-aa81-f4ad86b6562c,Backgrounder: Canadian Centre for the Independent Resolution of First Nations Specific Claims,http://www.ainc-inac.gc.ca/nr/prs/j-a2004/02462abk_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/8724f10d-fb51-562a-b23f-677aff1bca1e,Backgrounder: Smith’s Landing First Nation Chronology,http://www.ainc-inac.gc.ca/nr/prs/m-a2000/00129bk_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/b2bb5aeb-2d2c-52c3-b920-95b790d91c7c,Backgrounder Westbank Self-Government Agreement,http://www.ainc-inac.gc.ca/nr/prs/m-a2000/00148bk_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/799af8f2-0c01-54b6-9ca8-c973aafcea01,"Backgrounder: Stages of Present Negotiations among Akaitcho Dene First Nations, Canada and the Government of the Northwest Territories",http://www.ainc-inac.gc.ca/nr/prs/m-a2000/00150bk_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/bd640a20-1a13-5b5d-8db5-7bf29832020c,Akaitcho Treaty 8 Framework Agreement Signed,http://www.ainc-inac.gc.ca/nr/prs/m-a2000/00150bk_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/9f0b0830-356a-5930-9170-8b059adfecd6,Akaitcho Territory Dene First Nations Framework Agreement Signing Ceremony,http://www.ainc-inac.gc.ca/nr/prs/m-a2000/00150bka_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/e2fa8204-ece9-5082-9057-65e4cbb4e847,Akaitcho Territory Dene First Nations Framework Agreement Signing Ceremony,http://www.ainc-inac.gc.ca/nr/prs/m-a2000/00150bka_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/052b7dbe-225c-553b-8260-59dfaf0ed1f9,Smith's Landing becomes Newest First Nation in Alberta,http://www.ainc-inac.gc.ca/nr/prs/m-a2000/2-00129_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/f055664d-f469-5729-be5f-cccef69947b3,Negotiations Completed on Westbank First Nation Self-Government  Agreement,http://www.ainc-inac.gc.ca/nr/prs/m-a2000/2-00148_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/6d54e5bb-d8bc-53ec-b3c5-aa16776ebf0d,Backgrounder: The Labrador Inuit Comprehensive Claim,http://www.ainc-inac.gc.ca/nr/prs/m-a2001/01169bk_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/dd3e2e8d-528e-5c64-8121-e956cfd5e986,Backgrounder: The Labrador Inuit Comprehensive Claim,http://www.ainc-inac.gc.ca/nr/prs/m-a2001/01169bk_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/deb48896-4dbb-5c53-bdd7-8fa0a40290cd,Backgrounder: The Labrador Inuit Comprehensive Claim,http://www.ainc-inac.gc.ca/nr/prs/m-a2001/01169bk_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/39b4ca1f-ddd6-5ca5-82b7-ee948ad693c7,News Release: Labrador Inuit Land Claims Agreement-in-Principle Signed,http://www.ainc-inac.gc.ca/nr/prs/m-a2001/2-01169_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/be7a2cc0-2dc5-54b7-98c4-a0521214beee,Deline Self-Government Agreement-in-Principle Signed,http://www.ainc-inac.gc.ca/nr/prs/m-a2003/2-02363_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/1fd317fa-464d-5e63-9011-5035064a311d,News Release: Labrador Inuit Land Claims Agreement Initialled in St. John's,http://www.ainc-inac.gc.ca/nr/prs/m-a2003/2-02367_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/5e9469f4-adc9-5119-9f77-e370b2f2bb3a,Backgrounder: Nunavit Inuit Marine Region Agreement-in-Principle,http://www.ainc-inac.gc.ca/nr/prs/s-d2002/02207bk_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/71aac11c-9b1d-5bcc-8524-1876e28b9087,Fact Sheet: Nunavik Inuit Marine Region Agreement-in-Principle,http://www.ainc-inac.gc.ca/nr/prs/s-d2002/02207fs_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/1a3eeb84-2b58-5fa4-81a0-bb56ca73fd26,News Release: Offshore Agreement-inPrinciple Signed with Nunavik Inuit,http://www.ainc-inac.gc.ca/nr/prs/s-d2002/2-02207_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/9a741a34-e069-5fc8-81eb-65e1c3d21573,Westbank First Nation Self-Government Agreement,http://www.ainc-inac.gc.ca/nr/prs/s-d2003/wfn_pdf_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/117347f8-5360-5fbd-a877-601d8786d556,Gwich'in and Inuvialuit Self-Government Agreement-In-Principle for the Beaufort-Delta Region,http://www.ainc-inac.gc.ca/pr/agr/beau/beauf_e.pdf,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/d8f3272a-a70d-5e55-98d5-8f3191d506cc,Highlights of The Dogrib Agreement-In-Principle,http://www.ainc-inac.gc.ca/pr/agr/dgrb/hil_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/822c2c69-c907-5a30-9c4f-dd888fb5ed63,Implementation Plan for the Gwich'in Comprehensive Land Claim Agreement 2003,http://www.ainc-inac.gc.ca/pr/agr/gwich/gwcolca_e.pdf,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/2a8366bd-5702-57c9-b536-5b3361b29cc1,Gwich'in Comprehensive Land Claim Agreement,http://www.ainc-inac.gc.ca/pr/agr/gwich/gwic_e.pdf,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/dd2180a8-9c1c-5b82-ab84-4521c139e34c,The Western Arctic Claim: The Inuvialuit Final Agreement,http://www.ainc-inac.gc.ca/pr/agr/inu/wesar_e.pdf,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/d0f198b1-75d5-59ef-b3d0-23e82aca2da3,Kluane First Nation Final Agreement,http://www.ainc-inac.gc.ca/pr/agr/klu/fia_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/1b671933-35a0-58e1-b828-2f88e5736211,Kluane First Nation Final Agreement Implementation Plan,http://www.ainc-inac.gc.ca/pr/agr/klu/imp_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/f2590680-2f63-5549-a6b3-1ecc6a7905ce,Kluane First Nation Self-Government Agreement,http://www.ainc-inac.gc.ca/pr/agr/klu/sga_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/2ca8992d-2b03-50bc-952f-bd4b2be98b95,Kluane First Nation Self-Government Agreement  Implementation Plan,http://www.ainc-inac.gc.ca/pr/agr/klu/sgi_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/bda2960f-b46f-535f-8388-4323d90c23a4,Chronology of Events Leading to the Final Agreement with the Nisga'a Tribal Council,http://www.ainc-inac.gc.ca/pr/agr/nsga/chrono_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/af7df7c0-df25-545d-9f84-ed1a9725ba83,Implementation Plan for the Nisga'a Final Agreement,http://www.ainc-inac.gc.ca/pr/agr/nsga/fnfaip_e.pdf,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/4b9a3569-f850-53e0-aaf4-62866a995a5d,Implementation Plan for the Nisga'a Final Agreement,http://www.ainc-inac.gc.ca/pr/agr/nsga/nfaip_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/4452e306-18aa-52b5-97d2-37569f1e0a28,Prosper: Nisga'a Final Agreement 2001/2002 Annual Report,http://www.ainc-inac.gc.ca/pr/agr/nsga/nfar2_e.pdf#search=%22Prosper%3A%20Nisga'a%20Final%20Agreement%202001%2F2002%20Annual%20Report%22,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/59bf5605-06f0-599b-864e-0f4375ecb8e9,Nisga'a Final Agreement,http://www.ainc-inac.gc.ca/pr/agr/nsga/nisdex_e.html,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/d93e67f1-9d48-598a-b1da-05c301f8a07d,Nisga'a Nation Fiscal Financing Agreement,http://www.ainc-inac.gc.ca/pr/agr/nsga/pdf/fiscal_e.pdf,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
https://data.idnau.org/pid/resource/cd89ff06-3cff-5143-b076-b11360802848,Nisga'a Nation Harvest Agreement,http://www.ainc-inac.gc.ca/pr/agr/nsga/pdf/harvest_e.pdf,,,,dns_error,likely_broken,true,false,false,,,"[Errno 8] nodename nor servname provided, or not known"
