atns-subject:5996de0c-8cc6-5f14-8901-d839af36a4d4	Collaboration / Partnership	9
atns-subject:ffe61b3b-8b29-5264-89ac-758a03928ea5	Housing, Construction and Infrastructure	10
atns-subject:17d993e0-d19e-5349-a48e-4de57b1dba59	Cultural Heritage	11
atns-subject:51ca8813-b7bb-5a37-819e-afae35771fff	Economic Development	12
atns-subject:6a8815da-e29d-506f-85fd-c64c8807fea2	Education	13
atns-subject:9073e633-80a9-5ba7-8892-f556bd0a0612	Employment and Training	14
atns-subject:e52a2091-dcda-569c-aafb-6497428c615c	Environmental Heritage	15
atns-subject:d15dd1de-4696-50c8-9f10-2e95eea88e6f	Health and Community Services	16
atns-subject:61167f4a-3766-5848-9d7f-369aa9ebd427	Intra-Indigenous Agreement	17
atns-subject:7cc37d9a-fe3c-5fec-b115-d1bb8d72db9c	Land Management	18
atns-subject:710c226b-1fba-5eba-86c9-5087f506ac80	Land Transaction	19
atns-subject:3302d162-15ce-5b7d-ad89-1f11c3cb6e0d	Mining and Minerals	20
atns-subject:c74e76ef-701f-5784-8223-5fcd87a7641c	Native Title	21
atns-subject:8ba4812a-c06b-587d-b491-67362ac3f001	Recognition Agreement / Acknowledgement	22
atns-subject:746b3b59-88ea-5685-81f7-1558875d7c47	Recognition of Native Title or Traditional Ownership	23
atns-subject:9e5e8f61-69be-5e2a-a9cd-58fb000349bd	Recognition of Traditional Rights and Interests	24
atns-subject:f373baa1-6611-5aae-a140-c2cd1c548f13	Reconciliation	25
atns-subject:2dbadeb9-2a38-5b9f-ad49-b1fddafe7c93	Research	26
atns-subject:ef36130b-f525-5200-b398-93681fdc865b	Sports and Physical Recreation	27
atns-subject:06f9cf03-2d66-5dfe-807c-b7632b2ea564	Local Government	28
atns-subject:6dbc2651-9cf2-58ba-a929-248a3b0b9e86	Self Government	29
atns-subject:9468ab8c-2b3a-54c2-b5e8-88e552bdd046	Land Settlement	30
atns-subject:35e19906-2659-5157-8aee-b9d82eedbb1c	Exploration	31
atns-subject:dbff1607-a2a3-5baf-995d-8c9bb0552665	Native Title - Extinguishment	32
atns-subject:bda82010-54a4-5bac-8bf5-4b5341822974	Pastoral Activities	33
atns-subject:9c404ff9-19e6-5e64-a8bd-2e3b39773146	Future Act	34
atns-subject:97be12ad-fd1c-5136-9323-0929eb90b556	Petroleum	36
atns-subject:d18543b6-8e20-5924-993d-7df513bd89e2	Aquaculture	37
atns-subject:226851a5-4652-58c0-9a88-448bc922deed	Defence	38
atns-subject:aa1bc55e-742c-5978-99d6-fac55a6e5775	Horticulture	39
atns-subject:45d231c6-43e2-507e-b962-39416468877c	Agriculture	40
atns-subject:dc50c698-80b0-5ef4-bd95-928f2be8da05	Compensation	41
atns-subject:eb0505b2-1a8a-50e0-81ae-843a12f07744	Customary Law	42
atns-subject:b9cb4d2e-5a5b-57ae-a2ac-5450c37a61d8	Consultation	43
atns-subject:ff4e6e61-8ae5-5b37-b306-00502be1d9d6	Forestry	44
atns-subject:51637aba-8d5a-5309-abd9-b42fbe3ec733	Fishing	45
atns-subject:e39913b8-e0d0-5c07-b96c-d2ac36af9557	Intellectual Property	46
atns-subject:078baf41-50e7-561d-9163-fb3b43a98261	Implementation	47
atns-subject:29221ef9-81d0-59aa-a9c9-744b71ff8349	Land Use	48
atns-subject:4f924c21-9e16-51f1-823e-8944b84c7142	Land Planning	49
atns-subject:b39d3bcb-b425-5b5d-b1f1-9735a7a6a23b	Law - Policy and Justice	50
atns-subject:b5868ee2-df76-5e62-ae92-ff325f5dbc01	Marine	51
atns-subject:1ec05be0-16ac-52de-bf3b-54bec0211332	Management / Administration	52
atns-subject:f630e08a-ea9c-57e3-ab87-066e4b9ad57e	Tourism	53
atns-subject:8afa6040-57f6-5faf-a4f9-863bd8f4f470	Water	54
atns-subject:9335b2f1-4915-55cc-9736-2ded7c4a2008	Access	55
atns-subject:df1f9525-0566-5955-b635-505a930f14b2	Leadership	179
atns-subject:81edd075-cb8e-5a7e-a65d-a47cec815898	Oil and Gas	298
atns-subject:99f93fc8-8a58-5ec5-a630-93b5790334b4	Youth	312
atns-subject:fdfa75e8-9832-5b80-93b8-4868091b8235	Transport	319
atns-subject:c3a6447e-4d24-590c-b351-d34140bf0801	Financial Services	354
atns-subject:0dd6cccd-dec1-56e3-93da-f93c889a921d	Green Energy	355
