kind,source_id,resource_iri,profile
entity,24,https://data.idnau.org/pid/resource/34524ede-2abc-50f1-af30-8493753c928e,full
entity,27,https://data.idnau.org/pid/resource/dd9b004b-1c22-5b53-8381-bd93760ee922,full
entity,30,https://data.idnau.org/pid/resource/3c2b10f8-eb83-5de4-b54d-28f7ed058109,full
entity,37,https://data.idnau.org/pid/resource/7c1def57-546e-5389-bde5-24d566944930,full
entity,384,https://data.idnau.org/pid/resource/9c0487c1-a143-57e0-874f-d3566a1b71e3,supporting
entity,617,https://data.idnau.org/pid/resource/92c9e33d-4ac3-5bc8-8bcb-e76171dd13c9,supporting
entity,618,https://data.idnau.org/pid/resource/050308f6-67e6-52f6-82c9-56c20413cac6,supporting
entity,753,https://data.idnau.org/pid/resource/b2d9f12b-163c-5975-a491-4989fae9ef78,supporting
entity,760,https://data.idnau.org/pid/resource/24e6bdb4-39f2-5b5c-b7d8-54d7cc8e7f9b,supporting
entity,1624,https://data.idnau.org/pid/resource/c8122728-6e9f-597c-b4d9-68b8858e66c7,supporting
entity,1845,https://data.idnau.org/pid/resource/2f133c6b-1d33-5f72-94a1-82b250dcf3ff,supporting
entity,3160,https://data.idnau.org/pid/resource/d689a611-e0e8-5972-bcbe-3cd0ebe94f0f,supporting
reference,1126,https://data.idnau.org/pid/resource/ca68a358-3931-5011-adfd-0a695adc4812,full
reference,1134,https://data.idnau.org/pid/resource/180b6fcc-dcc6-5592-a390-5179366066fd,full
reference,1142,https://data.idnau.org/pid/resource/0cca8502-926a-5770-88a4-de3ae0d9c4e9,full
reference,1238,https://data.idnau.org/pid/resource/97dd3be9-f4ca-586a-971a-594015bbfcc4,full
relationship,9,https://data.idnau.org/pid/resource/19c443c8-9105-5c31-b602-fcc5242ad212,full
relationship,11,https://data.idnau.org/pid/resource/21aeb88a-d1ea-5a87-9078-b5a2b0297767,full
relationship,22882,https://data.idnau.org/pid/resource/d83fefdc-3a9c-5d1a-a136-856ab719c810,full
relationship,22884,https://data.idnau.org/pid/resource/ad363cfb-45e0-5e20-8f75-b0b06bb8080a,full
relationship,22886,https://data.idnau.org/pid/resource/755c7884-f6d1-54a3-8061-fb0913916af2,full
relationship,23282,https://data.idnau.org/pid/resource/ea28496f-6d45-5ca5-809b-c39460067350,full
relationship,23284,https://data.idnau.org/pid/resource/2b8edb62-2fd0-5f4a-b32b-f0a1e5053aa4,full
relationship,23286,https://data.idnau.org/pid/resource/f54218ef-5ea0-521e-95ec-823b5ecf1736,full
relationship,23298,https://data.idnau.org/pid/resource/e8c96d06-0760-5680-b6b8-242944e4fae7,full
relationship,23300,https://data.idnau.org/pid/resource/15763845-5c8b-5f08-8132-b4ee620da4ca,full
