"concept_iri"	"notation"	"pref_label"	"definition"	"capture_timestamp"	"source_url"	"capture_count"	"sampled_capture_count"	"distinct_sampled_definitions"	"review_status"	"review_note"	"sampled_headings"	"errors"
"https://data.idnau.org/pid/vocab/atns-subcat/96ed4893-3cbb-55ad-8320-7a41fca2ccc6"	"70"	"Respondent"	"Respondent(s) in a native title or related case before the Federal Court of Australia."	"20200924105031"	"https://web.archive.org/web/20200924105031/https://atns.net.au/subcategory.asp?subcategoryid=70"	"11"	"3"	"1"	"stable"	""	"Respondent"	""
"https://data.idnau.org/pid/vocab/atns-subcat/c2099cd6-cafc-54bc-9c89-11df0e41766e"	"71"	"National Park"	"A relatively large area of land that is generally owned or leased by the Commonwealth Government in order to preserve its natural, cultural and historic attributes. The legislative basis for a National Park might be, for example, the National Parks and Wildlife Act 1974 (NSW) or the Nature Conservation Act 1992 (Qld)."	"20140126160621"	"https://web.archive.org/web/20140126160621/http://atns.net.au/subcategory.asp?subcategoryID=71"	"7"	"3"	"2"	"definition-changed"	"20070505215041: National Park — An area owned by the Commonwealth Government and preserved for the conservation of scenery and the natural and historic object. || 20110216103008: National Park — A relatively large area of land that is generally owned or leased by the Commonwealth Government in order to preserve its natural, cultural and historic attributes. The legislative basis for a National Park might be, for example, the National Parks and Wildlife Act 1974 (NSW) or the Nature Conservation Act 1992 (Qld). || 20140126160621: National Park — A relatively large area of land that is generally owned or leased by the Commonwealth Government in order to preserve its natural, cultural and historic attributes. The legislative basis for a National Park might be, for example, the National Parks and Wildlife Act 1974 (NSW) or the Nature Conservation Act 1992 (Qld)."	"National Park"	""
"https://data.idnau.org/pid/vocab/atns-subcat/5b58045c-9ed4-5de5-9ff0-97a1b2ac015f"	"72"	"No Liability Company"	"The activities of a no liability company must be confined to mining. No liability companies are public companies that have no statutory or contractual right to recover unpaid calls on partly paid shares. Such companies have ‘No Liability’ or ‘NL’ in their name."	"20190314235420"	"https://web.archive.org/web/20190314235420/https://www.atns.net.au/subcategory.asp?subcategoryID=72"	"9"	"3"	"1"	"stable"	""	"No Liability Company"	""
"https://data.idnau.org/pid/vocab/atns-subcat/5fbc56b2-1929-562c-822e-67dc1d7feb2f"	"73"	"Native Title Applicant"	"Native Title Applicants are Indigenous people who make an application to the Federal Court for the legal recognition of their native title rights and interests."	"20201029023043"	"https://web.archive.org/web/20201029023043/https://atns.net.au/subcategory.asp?subcategoryID=73"	"13"	"3"	"1"	"heading-mismatch"	"20070901075545: Native Title Applicants — Native Title Applicants are Indigenous people who make an application to the Federal Court for the legal recognition of their native title rights and interests. || 20110216102426: Native Title Applicants — Native Title Applicants are Indigenous people who make an application to the Federal Court for the legal recognition of their native title rights and interests. || 20201029023043: Native Title Applicants — Native Title Applicants are Indigenous people who make an application to the Federal Court for the legal recognition of their native title rights and interests."	"Native Title Applicants"	""
"https://data.idnau.org/pid/vocab/atns-subcat/243b1d27-cf40-5bee-9faa-84aed0afb787"	"74"	"Applicant"	"A Member of Parliament of a State government of Australia."	"20110216102850"	"https://web.archive.org/web/20110216102850/http://atns.net.au/subcategory.asp?subcategoryID=74"	"7"	"2"	"1"	"heading-mismatch"	"20070901081231: State Member — A Member of Parliament of a State government of Australia. || 20110216102850: State Member — A Member of Parliament of a State government of Australia."	"State Member"	"20200921072237: URLError: <urlopen error [Errno 61] Connection refused>"
"https://data.idnau.org/pid/vocab/atns-subcat/1699fb80-0470-5f04-8e00-5ef955da347c"	"75"	"Research Agreement"	"An agreement with regard to research protocols and commitments."	"20140302103623"	"https://web.archive.org/web/20140302103623/http://atns.net.au/subcategory.asp?subcategoryID=75"	"7"	"3"	"1"	"stable"	""	"Research Agreement"	""
"https://data.idnau.org/pid/vocab/atns-subcat/f005f1b8-394e-56eb-9c31-20fe08cc3f42"	"76"	"Territory Government"	"The government of a Territory of Australia. The Northern Territory of Australia was established under the Northern Territory (Self-Government) Act 1978 , a Commonwealth Government Act of Parliament, while the Australian Capital Territory (ACT) Government was established in 1989."	"20070901075716"	"https://web.archive.org/web/20070901075716/http://www.atns.net.au/subcategory.asp?subcategoryID=76"	"5"	"1"	"1"	"single-sample"	"20070901075716: Territory Government — The government of a Territory of Australia. The Northern Territory of Australia was established under the Northern Territory (Self-Government) Act 1978 , a Commonwealth Government Act of Parliament, while the Australian Capital Territory (ACT) Government was established in 1989."	"Territory Government"	"20110216101900: URLError: <urlopen error [Errno 61] Connection refused> | 20140125204815: URLError: <urlopen error [Errno 61] Connection refused>"
"https://data.idnau.org/pid/vocab/atns-subcat/330fef0d-52e9-5598-8ab1-509cd921aac1"	"77"	"Joint Venture Agreement"	"A Joint Venture Agreement is a commercial agreement creating a business partnership whereby the two or more parties each take up part ownership of a commercial venture."	"20070902033444"	"https://web.archive.org/web/20070902033444/http://www.atns.net.au/subcategory.asp?subcategoryid=77"	"8"	"1"	"1"	"single-sample"	"20070902033444: Joint Venture Agreement — A Joint Venture Agreement is a commercial agreement creating a business partnership whereby the two or more parties each take up part ownership of a commercial venture."	"Joint Venture Agreement"	"20110216113009: URLError: <urlopen error [Errno 61] Connection refused> | 20140302103551: URLError: <urlopen error [Errno 61] Connection refused>"
"https://data.idnau.org/pid/vocab/atns-subcat/d811f588-0526-5f2b-be26-8c2f3f8f1abc"	"78"	"Representative Body"	"A body which represents the interests of a larger group or groups."	"20200923132957"	"https://web.archive.org/web/20200923132957/https://atns.net.au/subcategory.asp?subcategoryid=78"	"9"	"1"	"1"	"single-sample"	"20200923132957: Representative Body — A body which represents the interests of a larger group or groups."	"Representative Body"	"20070901080704: URLError: <urlopen error [Errno 61] Connection refused> | 20110216101724: URLError: <urlopen error [Errno 61] Connection refused>"
"https://data.idnau.org/pid/vocab/atns-subcat/a6c25fbf-fc85-500f-b84e-fd99fa599993"	"79"	"Convention"	"A Convention is a binding agreement between states or nations; used synonymously with Treaty and Covenant. Conventions are stronger than Declarations because they are legally binding on governments that have signed them. When the UN General Assembly adopts a Convention, it creates international norms and standards. Once a Convention is adopted by the UN General Assembly, Member States can then ratify the Convention, promising to uphold it. Governments that violate the standards set forth in a Convention can then be censured by the UN. In Australia, treaty obligations are only recognised by courts as binding where they have been enacted by domestic legislation."	"20140125204501"	"https://web.archive.org/web/20140125204501/http://atns.net.au/subcategory.asp?subcategoryID=79"	"7"	"2"	"1"	"stable"	""	"Convention"	"20070901075919: URLError: <urlopen error [Errno 61] Connection refused>"
"https://data.idnau.org/pid/vocab/atns-subcat/e76f87e0-b8e3-5926-84b7-228c7fad9c7c"	"80"	"Treaty (International)"	"A legally binding agreement between two or more sovereign governments."	"20150325192439"	"https://web.archive.org/web/20150325192439/http://atns.net.au/subcategory.asp?subcategoryid=80"	"7"	"2"	"1"	"stable"	""	"Treaty (International)"	"20070912090515: URLError: <urlopen error [Errno 61] Connection refused>"
