concept_iri	notation	pref_label	definition	capture_timestamp	source_url	capture_count	sampled_capture_count	distinct_sampled_definitions	review_status	review_note	sampled_headings	errors
https://data.idnau.org/pid/vocab/atns-sub/5996de0c-8cc6-5f14-8901-d839af36a4d4	9	Collaboration / Partnership	These agreements provide for ongoing collaboration and partnership between parties.	20201029025139	https://web.archive.org/web/20201029025139/https://atns.net.au/subjectmatter.asp?SubjectmatterID=9	21	3	1	stable		Collaboration / Partnership	""
https://data.idnau.org/pid/vocab/atns-sub/ffe61b3b-8b29-5264-89ac-758a03928ea5	10	Housing, Construction and Infrastructure	Housing, Construction and Infrastructure agreements cover housing, construction and infrastructure activities, other than for mining or agricultural-type purposes.	20200925084726	https://web.archive.org/web/20200925084726/https://atns.net.au/subjectmatter.asp?SubjectmatterID=10	19	3	2	definition-changed	20070901080357: Construction and Infrastructure — Construction/Infrastructure agreements cover construction or infrastructure activities, other than for mining or agricultural-type purposes. || 20110216094404: Housing, Construction and Infrastructure — Housing, Construction and Infrastructure agreements cover housing, construction and infrastructure activities, other than for mining or agricultural-type purposes. || 20200925084726: Housing, Construction and Infrastructure — Housing, Construction and Infrastructure agreements cover housing, construction and infrastructure activities, other than for mining or agricultural-type purposes.	Construction and Infrastructure | Housing, Construction and Infrastructure	""
https://data.idnau.org/pid/vocab/atns-sub/17d993e0-d19e-5349-a48e-4de57b1dba59	11	Cultural Heritage	Cultural Heritage agreements cover protection, preservation or promotion of Indigenous cultural heritage.	20201029011202	https://web.archive.org/web/20201029011202/https://atns.net.au/subjectmatter.asp?SubjectmatterID=11	20	3	1	stable		Cultural Heritage	""
https://data.idnau.org/pid/vocab/atns-sub/51ca8813-b7bb-5a37-819e-afae35771fff	12	Economic Development	Economic Development agreements aim to provide economic development opportunities for Indigenous people party to, or affected by, the agreement.	20201029011559	https://web.archive.org/web/20201029011559/https://atns.net.au/subjectmatter.asp?SubjectmatterID=12	20	3	1	stable		Economic Development	""
https://data.idnau.org/pid/vocab/atns-sub/6a8815da-e29d-506f-85fd-c64c8807fea2	13	Education	Education agreements cover education for Indigenous people or by Indigenous people.	20110216093801	https://web.archive.org/web/20110216093801/http://atns.net.au/subjectmatter.asp?SubjectmatterID=13	10	2	1	stable		Education	20200922043543: URLError: <urlopen error [Errno 61] Connection refused>
https://data.idnau.org/pid/vocab/atns-sub/9073e633-80a9-5ba7-8892-f556bd0a0612	14	Employment and Training	Employment and Training agreements cover employment and training for Indigenous people.	20110216093856	https://web.archive.org/web/20110216093856/http://atns.net.au/subjectmatter.asp?SubjectmatterID=14	14	2	1	stable		Employment and Training	20200808170116: URLError: <urlopen error [Errno 61] Connection refused>
https://data.idnau.org/pid/vocab/atns-sub/e52a2091-dcda-569c-aafb-6497428c615c	15	Environmental Heritage	Environmental Heritage agreements cover protection, preservation or rehabilitation of the natural environment.	20201029012121	https://web.archive.org/web/20201029012121/https://atns.net.au/subjectmatter.asp?SubjectmatterID=15	19	3	1	stable		Environmental Heritage	""
https://data.idnau.org/pid/vocab/atns-sub/d15dd1de-4696-50c8-9f10-2e95eea88e6f	16	Health and Community Services	Health and Community Services agreements cover provision of health and other community services (housing, childcare, aged care), or activities related to provision of these services.	20110216094240	https://web.archive.org/web/20110216094240/http://atns.net.au/subjectmatter.asp?SubjectmatterID=16	20	2	1	stable		Health and Community Services	20201029012302: URLError: <urlopen error [Errno 61] Connection refused>
https://data.idnau.org/pid/vocab/atns-sub/61167f4a-3766-5848-9d7f-369aa9ebd427	17	Intra-Indigenous Agreement	Intra-Indigenous agreements cover any agreement made between two or more Indigenous parties.	20200319035526	https://web.archive.org/web/20200319035526/https://www.atns.net.au/subjectmatter.asp?SubjectmatterID=17	10	3	1	stable		Intra-Indigenous Agreement	""
https://data.idnau.org/pid/vocab/atns-sub/7cc37d9a-fe3c-5fec-b115-d1bb8d72db9c	18	Land Management	Land Management agreements cover management of land, through establishment of a management plan or committee.	20201029012713	https://web.archive.org/web/20201029012713/https://atns.net.au/subjectmatter.asp?SubjectmatterID=18	25	3	1	stable		Land Management	""
https://data.idnau.org/pid/vocab/atns-sub/710c226b-1fba-5eba-86c9-5087f506ac80	19	Land Transaction	Land Transaction agreements cover a transaction in land, through purchase or consent to grant title (other than Exploration or Mining title).	20201029012943	https://web.archive.org/web/20201029012943/https://atns.net.au/subjectmatter.asp?SubjectmatterID=19	17	3	1	stable		Land Transaction	""
https://data.idnau.org/pid/vocab/atns-sub/3302d162-15ce-5b7d-ad89-1f11c3cb6e0d	20	Mining and Minerals	Mining & Mineral agreements cover grants of mining tenements or conduct of mining activities and mining related activity.	20201023111520	https://web.archive.org/web/20201023111520/https://atns.net.au/subjectmatter.asp?SubjectmatterID=20	23	3	1	stable		Mining and Minerals	""
https://data.idnau.org/pid/vocab/atns-sub/c74e76ef-701f-5784-8223-5fcd87a7641c	21	Native Title	Native Title agreements are agreements made under the Native Title Act 1993 (Cth) or relates to groups recognised under the Act.	20201023111640	https://web.archive.org/web/20201023111640/https://atns.net.au/subjectmatter.asp?SubjectmatterID=21	30	3	1	stable		Native Title	""
https://data.idnau.org/pid/vocab/atns-sub/8ba4812a-c06b-587d-b491-67362ac3f001	22	Recognition Agreement / Acknowledgement	Recognition/Acknowledgement agreements give recognition or acknowledgement to Indigenous people or group of an area, but not specific recognition of Native Title or traditional ownership rights.	20200922210855	https://web.archive.org/web/20200922210855/https://atns.net.au/subjectmatter.asp?subjectmatterid=22	13	3	1	stable		Recognition Agreement / Acknowledgement	""
https://data.idnau.org/pid/vocab/atns-sub/746b3b59-88ea-5685-81f7-1558875d7c47	23	Recognition of Native Title or Traditional Ownership	Agreements recognise Native Title or traditional ownership rights.	20201023120749	https://web.archive.org/web/20201023120749/https://atns.net.au/subjectmatter.asp?subjectmatterid=23	20	3	1	stable		Recognition of Native Title or Traditional Ownership	""
https://data.idnau.org/pid/vocab/atns-sub/9e5e8f61-69be-5e2a-a9cd-58fb000349bd	24	Recognition of Traditional Rights and Interests	Agreements recognise traditional rights and interests in a formal way.	20201029015525	https://web.archive.org/web/20201029015525/https://atns.net.au/subjectmatter.asp?SubjectmatterID=24	23	2	1	stable		Recognition of Traditional Rights and Interests	20070901081634: URLError: <urlopen error [Errno 61] Connection refused>
https://data.idnau.org/pid/vocab/atns-sub/f373baa1-6611-5aae-a140-c2cd1c548f13	25	Reconciliation	Reconciliation agreements cover initiatives to address reconciliation between Indigenous and non-indigenous people for past injustices.	20201029015555	https://web.archive.org/web/20201029015555/https://atns.net.au/subjectmatter.asp?SubjectmatterID=25	12	3	1	stable		Reconciliation	""
https://data.idnau.org/pid/vocab/atns-sub/2dbadeb9-2a38-5b9f-ad49-b1fddafe7c93	26	Research	Research agreements cover research programs or material.	20201029015625	https://web.archive.org/web/20201029015625/https://atns.net.au/subjectmatter.asp?SubjectmatterID=26	10	3	1	stable		Research	""
https://data.idnau.org/pid/vocab/atns-sub/ef36130b-f525-5200-b398-93681fdc865b	27	Sports and Physical Recreation	Sports and Physical Recreation agreements cover sport and physical recreation activities, programs and developments.	20200229051606	https://web.archive.org/web/20200229051606/https://www.atns.net.au/subjectmatter.asp?subjectmatterid=27	11	3	1	stable		Sports and Physical Recreation	""
https://data.idnau.org/pid/vocab/atns-sub/06f9cf03-2d66-5dfe-807c-b7632b2ea564	28	Local Government	Local Government agreements cover activities or policies of local government.	20110216094955	https://web.archive.org/web/20110216094955/http://atns.net.au/subjectmatter.asp?SubjectmatterID=28	18	2	1	stable		Local Government	20201029015751: URLError: <urlopen error [Errno 61] Connection refused>
https://data.idnau.org/pid/vocab/atns-sub/6dbc2651-9cf2-58ba-a929-248a3b0b9e86	29	Self Government	Self-Government agreements cover self-governance for Indigenous peoples, including the jurisdiction of a self-governed area.	20200922050333	https://web.archive.org/web/20200922050333/https://atns.net.au/subjectmatter.asp?subjectmatterid=29	8	3	1	stable		Self Government	""
https://data.idnau.org/pid/vocab/atns-sub/9468ab8c-2b3a-54c2-b5e8-88e552bdd046	30	Land Settlement	Land Settlement agreements provide finalised settlement of land tenure in an area.	20200808173510	https://web.archive.org/web/20200808173510/https://atns.net.au/subjectmatter.asp?SubjectmatterID=30	13	3	1	stable		Land Settlement	""
https://data.idnau.org/pid/vocab/atns-sub/35e19906-2659-5157-8aee-b9d82eedbb1c	31	Exploration	Exploration agreements cover grants for mining exploration tenements, or conditions for conducting exploration.	20200922052254	https://web.archive.org/web/20200922052254/https://atns.net.au/subjectmatter.asp?subjectmatterid=31	18	3	1	stable		Exploration	""
https://data.idnau.org/pid/vocab/atns-sub/dbff1607-a2a3-5baf-995d-8c9bb0552665	32	Native Title - Extinguishment	Native Title – Extinguishment agreements cover the extinguishment or surrender of Native Title rights and interests.	20201029021118	https://web.archive.org/web/20201029021118/https://atns.net.au/subjectmatter.asp?SubjectmatterID=32	20	3	1	stable		Native Title - Extinguishment	""
https://data.idnau.org/pid/vocab/atns-sub/bda82010-54a4-5bac-8bf5-4b5341822974	33	Pastoral Activities	Pastoral Activity agreements cover activities undertaken under terms of a pastoral lease or conditions on such activities.	20201029021141	https://web.archive.org/web/20201029021141/https://atns.net.au/subjectmatter.asp?SubjectmatterID=33	20	3	1	stable		Pastoral Activities	""
https://data.idnau.org/pid/vocab/atns-sub/9c404ff9-19e6-5e64-a8bd-2e3b39773146	34	Future Act	Future Act agreements validate the acts defined in the agreement as either a ‘future act’ or a ‘potential future act’. Does not include agreements that cover activities that may be future acts but are not defined as such in the agreement itself.	20201029021233	https://web.archive.org/web/20201029021233/https://atns.net.au/subjectmatter.asp?SubjectmatterID=34	21	3	1	stable		Future Act	""
https://data.idnau.org/pid/vocab/atns-sub/97be12ad-fd1c-5136-9323-0929eb90b556	36	Petroleum	Petroleum agreements cover grants of petroleum tenements or conduct of petroleum exploration and production activities.	20110216095445	https://web.archive.org/web/20110216095445/http://atns.net.au/subjectmatter.asp?SubjectmatterID=36	15	2	1	stable		Petroleum	20200922213635: URLError: <urlopen error [Errno 61] Connection refused>
https://data.idnau.org/pid/vocab/atns-sub/d18543b6-8e20-5924-993d-7df513bd89e2	37	Aquaculture	Aquaculture agreements cover aquaculture activities or practices, or grants for aquaculture purposes.	20200319035356	https://web.archive.org/web/20200319035356/https://www.atns.net.au/subjectmatter.asp?SubjectmatterID=37	12	3	1	stable		Aquaculture	""
https://data.idnau.org/pid/vocab/atns-sub/226851a5-4652-58c0-9a88-448bc922deed	38	Defence	Defence agreements cover national defence activities.	20200319035422	https://web.archive.org/web/20200319035422/https://www.atns.net.au/subjectmatter.asp?SubjectmatterID=38	9	3	1	stable		Defence	""
https://data.idnau.org/pid/vocab/atns-sub/aa1bc55e-742c-5978-99d6-fac55a6e5775	39	Horticulture	Horticulture agreements cover horticultural activities or practices, or grants for horticultural purposes.	20200922213909	https://web.archive.org/web/20200922213909/https://atns.net.au/subjectmatter.asp?subjectmatterid=39	9	2	1	stable		Horticulture	20070901081521: URLError: <urlopen error [Errno 61] Connection refused>
